,Title,Artist,Year,Rank
492,Here,Alessia Cara,2015,94
493,Waves,Mr. Probz,2015,95
494,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015,96
495,She Knows,Ne-Yo Featuring Juicy J,2015,97
496,Night Changes,One Direction,2015,98
497,Back To Back,Drake,2015,99
498,How Deep Is Your Love,Calvin Harris & Disciples,2015,100
499,Love Yourself,Justin Bieber,2016,1
500,Sorry,Justin Bieber,2016,2
501,One Dance,Drake Featuring WizKid & Kyla,2016,3
502,Work,Rihanna Featuring Drake,2016,4
503,Stressed Out,twenty one pilots,2016,5
504,Panda,Desiigner,2016,6
505,Hello,Adele,2016,7
506,Don't Let Me Down,The Chainsmokers Featuring Daya,2016,8
507,Can't Stop The Feeling!,Justin Timberlake,2016,9
508,Closer,The Chainsmokers Featuring Halsey,2016,10
509,Cheap Thrills,Sia Featuring Sean Paul,2016,11
510,7 Years,Lukas Graham,2016,12
511,Needed Me,Rihanna,2016,13
512,My House,Flo Rida,2016,14
513,I Took A Pill In Ibiza,Mike Posner,2016,15
514,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016,16
515,This Is What You Came For,Calvin Harris Featuring Rihanna,2016,17
516,Cake By The Ocean,DNCE,2016,18
517,"Me, Myself & I",G-Eazy x Bebe Rexha,2016,19
518,Ride,twenty one pilots,2016,20
519,Heathens,twenty one pilots,2016,21
520, Pillowtalk,Zayn,2016,22
521,Stitches,Shawn Mendes,2016,23
522,Hotline Bling,Drake,2016,24
523,Cold Water,Major Lazer Featuring Justin Bieber & MO,2016,25
524,Send My Love (To Your New Lover),Adele,2016,26
525,Roses,The Chainsmokers Featuring Rozes,2016,27
526,Treat You Better,Shawn Mendes,2016,28
527,Too Good,Drake Featuring Rihanna,2016,29
528,Low Life,Future Featuring The Weeknd,2016,30
529,What Do You Mean?,Justin Bieber,2016,31
530,The Hills,The Weeknd,2016,32
531,Just Like Fire,P!nk,2016,33
532,Broccoli,D.R.A.M. Featuring Lil Yachty,2016,34
533,Don't,Bryson Tiller,2016,35
534,Dangerous Woman,Ariana Grande,2016,36
535,Jumpman,Drake & Future,2016,37
536,I Hate U I Love U,gnash Featuring Olivia O'Brien,2016,38
537,Here,Alessia Cara,2016,39
538,Same Old Love,Selena Gomez,2016,40
539,Controlla,Drake,2016,41
